county,institutions,courses,artisan,certificate,diploma,degree,lowest_entry,reachable_at_E,reachable_at_D,reachable_at_C_minus,fee_published_by_institution,fee_sourced_any,fee_absent
Baringo,2,8,6,1,1,0,Open entry,6,6,7,0,8,0
Bomet,2,8,2,2,4,0,Open entry,2,3,7,0,8,0
Bungoma,2,3,1,1,1,0,E,1,1,2,0,3,0
Busia,2,4,2,1,1,0,Open entry,2,2,3,0,4,0
Elgeyo-Marakwet,2,4,0,1,3,0,C-,0,0,1,0,4,0
Embu,2,5,0,1,4,0,C-,0,0,1,0,5,0
Garissa,2,7,2,3,2,0,E,2,4,6,0,7,0
Homa Bay,3,7,2,1,4,0,Open entry,2,2,5,0,7,0
Isiolo,1,5,0,2,3,0,C-,0,0,2,0,5,0
Kajiado,4,16,2,1,3,10,E,2,2,5,0,6,10
Kakamega,5,19,3,4,11,1,E,3,6,15,1,10,9
Kericho,3,6,1,1,1,3,E,1,1,2,0,3,3
Kiambu,12,65,5,1,7,52,Open entry,5,5,10,0,6,59
Kilifi,4,20,2,2,10,6,Open entry,2,2,6,0,9,11
Kirinyaga,3,27,5,8,5,9,E,5,10,13,0,5,22
Kisii,3,6,2,2,1,1,E,2,2,4,0,4,2
Kisumu,7,32,9,6,8,9,E,9,12,21,0,18,14
Kitui,2,22,0,1,1,20,C-,0,0,1,0,2,20
Kwale,2,6,1,3,2,0,Open entry,1,1,4,0,6,0
Laikipia,3,22,0,7,3,12,D,0,5,8,0,3,19
Lamu,1,5,0,3,2,0,C-,0,0,3,0,5,0
Machakos,6,35,0,12,2,21,Open entry,5,11,13,5,20,15
Makueni,2,8,0,1,1,6,C-,0,0,1,0,2,6
Mandera,2,9,2,4,3,0,E,2,5,8,0,9,0
Marsabit,2,8,4,2,2,0,E,4,4,7,0,8,0
Meru,3,17,3,5,4,5,Open entry,3,6,11,0,12,5
Migori,3,25,2,3,14,6,E,2,4,18,0,2,23
Mombasa,6,38,6,7,7,18,Open entry,6,11,19,1,14,24
Murang'a,3,12,5,1,2,4,E,5,5,7,0,7,5
Nairobi,34,187,25,37,56,68,Open entry,26,33,101,7,58,129
Nakuru,7,39,2,13,10,14,Open entry,2,3,23,0,22,17
Nandi,3,12,1,1,1,9,Open entry,1,1,2,0,3,9
Narok,2,17,0,1,1,15,C-,0,0,1,0,2,15
Nyamira,2,3,1,1,1,0,Open entry,1,1,2,0,3,0
Nyandarua,3,4,1,1,2,0,E,1,1,2,0,4,0
Nyeri,4,16,3,5,6,2,Open entry,3,7,13,0,12,4
Samburu,2,15,7,5,3,0,E,7,12,15,0,8,7
Siaya,3,8,4,2,2,0,E,4,5,7,0,6,2
Taita-Taveta,3,10,5,1,2,2,E,5,5,7,0,7,3
Tana River,1,3,0,2,1,0,C-,0,0,2,0,3,0
Tharaka-Nithi,2,16,0,1,1,14,C-,0,0,1,0,2,14
Trans Nzoia,2,12,7,4,1,0,Open entry,7,10,11,0,5,7
Turkana,2,7,2,2,3,0,E,2,2,4,0,7,0
Uasin Gishu,5,49,8,6,6,29,E,8,12,19,0,18,31
Vihiga,2,4,2,1,1,0,Open entry,2,2,3,0,3,1
Wajir,3,9,0,5,4,0,D,0,3,7,0,2,7
West Pokot,2,5,1,2,2,0,E,1,1,3,0,5,0
