county,institutions,courses,artisan,certificate,diploma,degree,lowest_entry,reachable_at_E,reachable_at_D,reachable_at_C_minus,fee_published_by_institution,fee_sourced_any,fee_absent
Baringo,3,9,6,2,1,0,Open entry,6,6,8,0,9,0
Bomet,4,20,2,2,6,10,Open entry,2,3,7,0,8,12
Bungoma,3,20,1,1,2,16,E,1,1,2,0,4,16
Busia,4,17,2,2,4,8,Open entry,3,4,7,0,8,9
Elgeyo-Marakwet,2,4,0,1,3,0,C-,0,0,1,0,4,0
Embu,3,21,0,1,4,16,C-,0,0,1,0,5,16
Garissa,3,22,2,4,5,11,E,2,4,7,0,11,11
Homa Bay,4,16,2,1,7,6,Open entry,2,2,5,0,10,6
Isiolo,1,5,0,2,3,0,C-,0,0,2,0,5,0
Kajiado,6,30,2,2,5,21,Open entry,5,5,8,0,6,24
Kakamega,5,29,3,4,11,11,E,3,6,15,1,10,19
Kericho,4,21,1,3,7,10,E,1,3,8,0,5,16
Kiambu,17,122,5,3,12,102,Open entry,7,8,14,0,7,115
Kilifi,4,20,2,2,10,6,Open entry,2,2,6,0,9,11
Kirinyaga,3,27,5,8,5,9,E,5,10,13,0,5,22
Kisii,3,19,2,2,4,11,E,2,2,5,0,7,12
Kisumu,7,52,9,6,10,27,E,9,12,21,0,19,33
Kitui,2,22,0,1,1,20,C-,0,0,1,0,2,20
Kwale,2,6,1,3,2,0,Open entry,1,1,4,0,6,0
Laikipia,3,22,0,7,3,12,D,0,5,8,0,3,19
Lamu,1,5,0,3,2,0,C-,0,0,3,0,5,0
Machakos,6,58,0,13,4,41,Open entry,5,11,15,5,21,37
Makueni,2,8,0,1,1,6,C-,0,0,1,0,2,6
Mandera,2,9,2,4,3,0,E,2,5,8,0,9,0
Marsabit,2,8,4,2,2,0,E,4,4,7,0,8,0
Meru,7,40,3,8,8,21,Open entry,3,6,14,0,18,22
Migori,3,25,2,3,14,6,E,2,4,18,0,2,23
Mombasa,7,43,7,7,11,18,Open entry,7,12,20,1,18,25
Murang'a,3,14,5,1,2,6,E,5,5,7,0,7,7
Nairobi,41,294,25,47,71,147,Open entry,27,38,117,7,64,230
Nakuru,8,68,2,17,22,27,Open entry,2,5,35,0,33,35
Nandi,3,12,1,1,1,9,Open entry,1,1,2,0,3,9
Narok,2,17,0,1,1,15,C-,0,0,1,0,2,15
Nyamira,2,11,1,3,7,0,Open entry,1,1,4,0,11,0
Nyandarua,3,8,1,2,5,0,E,1,2,4,0,8,0
Nyeri,5,34,3,5,6,20,Open entry,3,7,13,0,12,22
Samburu,2,15,7,5,3,0,E,7,12,15,0,6,9
Siaya,4,19,4,3,4,8,E,4,5,8,0,9,10
Taita-Taveta,3,15,5,1,2,7,E,5,5,7,0,7,8
Tana River,1,3,0,2,1,0,C-,0,0,2,0,3,0
Tharaka-Nithi,4,24,0,1,2,21,C-,0,0,1,0,2,22
Trans Nzoia,3,15,7,5,3,0,Open entry,7,10,14,0,5,10
Turkana,2,7,2,2,3,0,E,2,2,4,0,7,0
Uasin Gishu,6,62,8,6,6,42,E,8,12,19,0,18,44
Vihiga,3,14,2,1,1,10,Open entry,2,2,3,0,3,11
Wajir,3,9,0,5,4,0,D,0,3,7,0,2,7
West Pokot,2,5,1,2,2,0,E,1,1,3,0,5,0
